scheme,code,label,level,parent_code
COICOP2018,01,Food and non-alcoholic beverages,0,
COICOP2018,01.1,Food,1,01
COICOP2018,01.1.1,Cereals and cereal products (ND),2,01.1
COICOP2018,01.1.1.1,Cereals (ND),3,01.1.1
COICOP2018,01.1.1.2,Flour of cereals (ND),3,01.1.1
COICOP2018,01.1.1.3,Bread and bakery products (ND),3,01.1.1
COICOP2018,01.1.1.4,Breakfast cereals (ND),3,01.1.1
COICOP2018,01.1.1.5,"Macaroni, noodles, couscous and similar pasta products (ND)",3,01.1.1
COICOP2018,01.1.1.9,Other milled cereal and grain products (ND),3,01.1.1
COICOP2018,01.1.2,"Live animals, and meat and other parts of slaughtered land animals (ND)",2,01.1
COICOP2018,01.1.2.1,Live land animals (ND),3,01.1.2
COICOP2018,01.1.2.2,"Meat, fresh, chilled or frozen (ND)",3,01.1.2
COICOP2018,01.1.2.3,"Meat, dried, salted, in brine or smoked (ND)",3,01.1.2
COICOP2018,01.1.2.4,"Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",3,01.1.2
COICOP2018,01.1.2.5,"Preparations of meat, offal, blood and other parts of slaughtered animals (ND)",3,01.1.2
COICOP2018,01.1.3,Fish and other seafood (ND),2,01.1
COICOP2018,01.1.3.1,"Fish, live, fresh, chilled or frozen (ND)",3,01.1.3
COICOP2018,01.1.3.2,"Fish, dried, salted, in brine or smoked (ND)",3,01.1.3
COICOP2018,01.1.3.3,Fish preparations (ND),3,01.1.3
COICOP2018,01.1.3.4,"Other seafood, live, fresh, chilled or frozen (ND)",3,01.1.3
COICOP2018,01.1.3.5,"Other seafood, dried, salted, in brine or smoked (ND)",3,01.1.3
COICOP2018,01.1.3.6,Other seafood preparations (ND),3,01.1.3
COICOP2018,01.1.3.7,"Livers, roes and other offal of fish and of other seafood in all forms (ND)",3,01.1.3
COICOP2018,01.1.4,"Milk, other dairy products and eggs (ND)",2,01.1
COICOP2018,01.1.4.1,Raw and whole milk (ND),3,01.1.4
COICOP2018,01.1.4.2,Skimmed milk (ND),3,01.1.4
COICOP2018,01.1.4.3,Other milk and cream (ND),3,01.1.4
COICOP2018,01.1.4.4,Non-animal milk (ND),3,01.1.4
COICOP2018,01.1.4.5,Cheese (ND),3,01.1.4
COICOP2018,01.1.4.6,Yoghurt and similar products (ND),3,01.1.4
COICOP2018,01.1.4.7,Milk-based dessert and beverages (ND),3,01.1.4
COICOP2018,01.1.4.8,Eggs (ND),3,01.1.4
COICOP2018,01.1.4.9,Other dairy products (ND),3,01.1.4
COICOP2018,01.1.5,Oils and fats (ND),2,01.1
COICOP2018,01.1.5.1,Vegetable oils (ND),3,01.1.5
COICOP2018,01.1.5.2,Butter and other oils and fats derived from milk (ND),3,01.1.5
COICOP2018,01.1.5.3,Margarine and similar preparations (ND),3,01.1.5
COICOP2018,01.1.5.9,Other animal oils and fats (ND),3,01.1.5
COICOP2018,01.1.6,Fruits and nuts (ND),2,01.1
COICOP2018,01.1.6.1,"Dates, figs and tropical fruits, fresh (ND)",3,01.1.6
COICOP2018,01.1.6.2,"Citrus fruits, fresh (ND)",3,01.1.6
COICOP2018,01.1.6.3,"Stone fruits and pome fruits, fresh (ND)",3,01.1.6
COICOP2018,01.1.6.4,"Berries, fresh (ND)",3,01.1.6
COICOP2018,01.1.6.5,"Other fruits, fresh (ND)",3,01.1.6
COICOP2018,01.1.6.6,"Fruits, frozen (ND)",3,01.1.6
COICOP2018,01.1.6.7,"Fruits, dried and dehydrated (ND)",3,01.1.6
COICOP2018,01.1.6.8,"Nuts, in shell or shelled (ND)",3,01.1.6
COICOP2018,01.1.6.9,"Fruits and nuts, ground, and in other preparations (ND)",3,01.1.6
COICOP2018,01.1.7,"Vegetables, tubers, plantains, cooking bananas and pulses (ND)",2,01.1
COICOP2018,01.1.7.1,"Leafy or stem vegetables, fresh or chilled (ND)",3,01.1.7
COICOP2018,01.1.7.2,"Fruit-bearing vegetables, fresh or chilled (ND)",3,01.1.7
COICOP2018,01.1.7.3,"Green leguminous vegetables, fresh or chilled (ND)",3,01.1.7
COICOP2018,01.1.7.4,"Other vegetables, fresh or chilled (ND)",3,01.1.7
COICOP2018,01.1.7.5,"Tubers, plantains and cooking bananas, fresh or chilled (ND)",3,01.1.7
COICOP2018,01.1.7.6,Pulses (ND),3,01.1.7
COICOP2018,01.1.7.7,"Other vegetables, tubers, plantains and cooking bananas, dried and dehydrated (ND)",3,01.1.7
COICOP2018,01.1.7.8,"Vegetables, tubers, plantains and cooking bananas, frozen (ND)",3,01.1.7
COICOP2018,01.1.7.9,"Vegetables, tubers, plantains, cooking bananas and pulses, ground, and in other preparations (ND)",3,01.1.7
COICOP2018,01.1.8,"Sugar, confectionery and desserts (ND)",2,01.1
COICOP2018,01.1.8.1,Cane sugar and beet sugar (ND),3,01.1.8
COICOP2018,01.1.8.2,Other sugars and sugar substitutes (ND),3,01.1.8
COICOP2018,01.1.8.3,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",3,01.1.8
COICOP2018,01.1.8.4,"Nut purées, nut butters and nut pastes (ND)",3,01.1.8
COICOP2018,01.1.8.5,"Chocolate, cocoa and cocoa-based food products (ND)",3,01.1.8
COICOP2018,01.1.8.6,"Ice, ice cream and sorbets (ND)",3,01.1.8
COICOP2018,01.1.8.9,Other sugar confectionery and desserts n.e.c. (ND),3,01.1.8
COICOP2018,01.1.9,Ready-made food and other food products (ND),2,01.1
COICOP2018,01.1.9.1,Ready-made food (ND),3,01.1.9
COICOP2018,01.1.9.2,Baby food (ND),3,01.1.9
COICOP2018,01.1.9.3,"Salt, condiments and sauces (ND)",3,01.1.9
COICOP2018,01.1.9.4,"Spices, culinary herbs and seeds (ND)",3,01.1.9
COICOP2018,01.1.9.9,Other food products n.e.c. (ND),3,01.1.9
COICOP2018,01.2,Non-alcoholic beverages,1,01
COICOP2018,01.2.1,Fruit and vegetable juices (ND),2,01.2
COICOP2018,01.2.1.0,Fruit and vegetable juices (ND),3,01.2.1
COICOP2018,01.2.2,Coffee and coffee substitutes (ND),2,01.2
COICOP2018,01.2.2.0,Coffee and coffee substitutes (ND),3,01.2.2
COICOP2018,01.2.3,"Tea, maté and other plant-derived products for infusion (ND)",2,01.2
COICOP2018,01.2.3.0,"Tea, maté and other plant-derived products for infusion (ND)",3,01.2.3
COICOP2018,01.2.4,Cocoa drinks (ND),2,01.2
COICOP2018,01.2.4.0,Cocoa drinks (ND),3,01.2.4
COICOP2018,01.2.5,Water (ND),2,01.2
COICOP2018,01.2.5.0,Water (ND),3,01.2.5
COICOP2018,01.2.6,Soft drinks (ND),2,01.2
COICOP2018,01.2.6.0,Soft drinks (ND),3,01.2.6
COICOP2018,01.2.9,Other non-alcoholic beverages (ND),2,01.2
